title,author,price,year_published,pagecount,genre,summary,copies
The Great Gatsby,F. Scott Fitzgerald,10.50,1925,180,Fiction,A story about the mysterious Jay Gatsby and the American Dream.,2
To Kill a Mockingbird,Harper Lee,10.99,1960,281,Fiction,A novel about racial injustice in the Deep South.,1
Pride and Prejudice,Jane Austen,8.99,1813,279,Romance,A classic romance novel exploring themes of class and marriage.,3
1984,George Orwell,9.99,1949,328,Dystopian,A dystopian story about a totalitarian regime and surveillance.,5
Moby Dick,Herman Melville,12.50,1851,635,Adventure,The tale of Captain Ahab's obsessive quest to kill the white whale Moby Dick.,4
Brave New World,Aldous Huxley,11.99,1932,311,Dystopian,A futuristic society controlled by technology and conditioning.,10
The Catcher in the Rye,J.D. Salinger,10.99,1951,214,Fiction,A story about teenage rebellion and alienation.,3
Crime and Punishment,Fyodor Dostoevsky,14.99,1866,671,Philosophical Fiction,A psychological exploration of morality and guilt.,11
The Hobbit,J.R.R. Tolkien,12.99,1937,310,Fantasy,The adventures of Bilbo Baggins in Middle-earth.,8
War and Peace,Leo Tolstoy,18.99,1869,1225,Historical Fiction,A sweeping narrative of Russian society during the Napoleonic era.,2
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,13.99,1954,423,Fantasy,The first part of the epic trilogy where Frodo begins his journey to destroy the One Ring.,3
The Lord of the Rings: The Two Towers,J.R.R. Tolkien,13.99,1954,352,Fantasy,The second part of the trilogy following the separate journeys of the Fellowship members.,7
The Lord of the Rings: The Return of the King,J.R.R. Tolkien,13.99,1955,416,Fantasy,The final part of the trilogy where the fate of Middle-earth is decided.,5
