title,author,price,year_published,pagecount,genre,summary,copies
The Shining,Stephen King,10.99,1977,447,Horror,A family becomes isolated in a haunted hotel during winter.,8
The Great Gatsby,F. Scott Fitzgerald,10.50,1925,180,Fiction,A story about the mysterious Jay Gatsby and the American Dream.,3
One Hundred Years of Solitude,Gabriel Garcia Marquez,15.50,1967,417,Magical Realism,A multi-generational story of the Buendia family in the town of Macondo.,3
Don Quixote,Miguel de Cervantes,17.50,1605,992,Adventure,A classic tale of an aging knight's quest to revive chivalry.,5
War and Peace,Leo Tolstoy,18.99,1869,1225,Historical Fiction,A sweeping narrative of Russian society during the Napoleonic era.,2
1984,George Orwell,9.99,1949,328,Dystopian,A dystopian story about a totalitarian regime and surveillance.,5
The Catcher in the Rye,J.D. Salinger,10.99,1951,214,Fiction,A story about teenage rebellion and alienation.,3
Crime and Punishment,Fyodor Dostoevsky,14.99,1866,671,Philosophical Fiction,A psychological exploration of morality and guilt.,11
The Hobbit,J.R.R. Tolkien,12.99,1937,310,Fantasy,The adventures of Bilbo Baggins in Middle-earth.,8
Harry Potter and the Sorcerer's Stone,J.K. Rowling,12.99,1997,309,Fantasy,A young boy discovers he is a wizard and attends a magical school.,15
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,13.99,1954,423,Fantasy,The first part of the epic trilogy where Frodo begins his journey to destroy the One Ring.,3
To the Lighthouse,Virginia Woolf,9.99,1927,209,Modernist Fiction,A novel exploring themes of family art and time.,5
The Catch-22,Joseph Heller,11.50,1961,453,Satire,A satirical novel about the absurdities of war and bureaucracy.,6
The Road,Cormac McCarthy,14.99,2006,287,Post-Apocalyptic,A father and son journey through a bleak post-apocalyptic landscape.,4
The Alchemist,Paulo Coelho,10.75,1988,208,Philosophical Fiction,A philosophical story about following one's dreams.,9
Pride and Prejudice,Jane Austen,8.99,1813,279,Romance,A classic romance novel exploring themes of class and marriage.,2
The Catcher in the Rye,J.D. Salinger,10.99,1951,214,Fiction,A story about teenage rebellion and alienation.,3
The Da Vinci Code,Dan Brown,12.95,2003,454,Mystery,A symbologist uncovers secrets hidden within famous artworks and religious texts.,12
To Kill a Mockingbird,Harper Lee,10.99,1960,281,Fiction,A novel about racial injustice in the Deep South.,1
The Lord of the Rings: The Return of the King,J.R.R. Tolkien,13.99,1955,416,Fantasy,The final part of the trilogy where the fate of Middle-earth is decided.,5
The Kite Runner,Khaled Hosseini,11.50,2003,371,Historical Fiction,A story of friendship and betrayal set against the backdrop of Afghan history.,7
Brave New World,Aldous Huxley,11.99,1932,311,Dystopian,A futuristic society controlled by technology and conditioning.,10
Moby Dick,Herman Melville,12.50,1851,635,Adventure,The tale of Captain Ahab's obsessive quest to kill the white whale Moby Dick.,4
The Grapes of Wrath,John Steinbeck,13.95,1939,464,Fiction,A family's struggle during the Great Depression and their journey to California.,4
The Handmaid's Tale,Margaret Atwood,12.99,1985,311,Dystopian,A dystopian story set in a society where women are subjugated.,10
Beloved,Toni Morrison,12.50,1987,324,Historical Fiction,A story of a mother haunted by the ghost of her dead child.,6
The Lord of the Rings: The Two Towers,J.R.R. Tolkien,13.99,1954,352,Fantasy,The second part of the trilogy following the separate journeys of the Fellowship members.,7
The Hunger Games,Suzanne Collins,10.99,2008,374,Dystopian,A young girl participates in a deadly televised competition.,13
